,TeamID,SubjectID,Degree,DegreeCentrality,BetweennessCentrality,EigenvectorCentrality,ClosenessCentrality
0,201004,0,2.0,0.5,0.5,0.34248744909850964,0.6666666666666666
1,201004,1,3.0,0.75,0.6666666666666666,0.6037035301706528,0.8
2,201004,2,2.0,0.5,0.0,0.4971525984525413,0.5714285714285714
3,201004,3,2.0,0.5,0.0,0.4971525984525413,0.5714285714285714
4,201004,4,1.0,0.25,0.0,0.15467056143060928,0.4444444444444444
5,201017,0,2.0,0.5,0.16666666666666666,0.4472135954999579,0.6666666666666666
6,201017,1,2.0,0.5,0.16666666666666666,0.4472135954999579,0.6666666666666666
7,201017,2,2.0,0.5,0.16666666666666666,0.4472135954999579,0.6666666666666666
8,201017,3,2.0,0.5,0.16666666666666666,0.4472135954999579,0.6666666666666666
9,201017,4,2.0,0.5,0.16666666666666666,0.4472135954999579,0.6666666666666666
10,201024,0,2.0,0.75,0.25,0.5298988890761731,0.8
11,201024,1,2.0,0.75,0.25,0.5298988890761731,0.8
12,201024,2,2.0,0.5,0.08333333333333333,0.3577519143170897,0.6666666666666666
13,201024,3,2.0,0.5,0.08333333333333333,0.3577519143170897,0.6666666666666666
14,201024,4,2.0,0.5,0.0,0.42713167795960844,0.6666666666666666
15,201041,0,3.0,0.75,0.25,0.4999997297138841,0.8
16,201041,1,3.0,0.75,0.25,0.4999997297138841,0.8
17,201041,2,2.0,0.5,0.05555555555555555,0.40824851115143324,0.6666666666666666
18,201041,3,2.0,0.5,0.05555555555555555,0.40824851115143324,0.6666666666666666
19,201041,4,2.0,0.5,0.05555555555555555,0.40824851115143324,0.6666666666666666
20,201049,0,4.0,1.0,0.5,0.5235633112090369,1.0
21,201049,1,3.0,0.75,0.0,0.4820442559301269,0.8
22,201049,2,3.0,0.75,0.0,0.4820442559301269,0.8
23,201049,3,3.0,0.75,0.0,0.4820442559301269,0.8
24,201049,4,1.0,0.25,0.0,0.16965100981173117,0.5714285714285714
25,201055,0,4.0,1.0,0.8333333333333333,0.6358559007605202,1.0
26,201055,1,2.0,0.5,0.0,0.47348538364848347,0.6666666666666666
27,201055,2,2.0,0.5,0.0,0.47348538364848347,0.6666666666666666
28,201055,3,1.0,0.25,0.0,0.2713949671701046,0.5714285714285714
29,201055,4,1.0,0.25,0.0,0.2713949671701046,0.5714285714285714
30,201061,0,3.0,0.75,0.25,0.4999997297138841,0.8
31,201061,1,3.0,0.75,0.25,0.4999997297138841,0.8
32,201061,2,2.0,0.5,0.05555555555555555,0.40824851115143324,0.6666666666666666
33,201061,3,2.0,0.5,0.05555555555555555,0.40824851115143324,0.6666666666666666
34,201061,4,2.0,0.5,0.05555555555555555,0.40824851115143324,0.6666666666666666
35,201082,0,4.0,1.0,0.05555555555555555,0.47922935468618827,1.0
36,201082,1,4.0,1.0,0.05555555555555555,0.47922935468618827,1.0
37,201082,2,4.0,1.0,0.05555555555555555,0.47922935468618827,1.0
38,201082,3,3.0,0.75,0.0,0.3943460896352204,0.8
39,201082,4,3.0,0.75,0.0,0.3943460896352204,0.8
40,201085,0,4.0,1.0,0.0,0.447213595499958,1.0
41,201085,1,4.0,1.0,0.0,0.447213595499958,1.0
42,201085,2,4.0,1.0,0.0,0.447213595499958,1.0
43,201085,3,4.0,1.0,0.0,0.447213595499958,1.0
44,201085,4,4.0,1.0,0.0,0.447213595499958,1.0
45,201102,0,3.0,0.75,0.8333333333333333,0.653280511529063,0.8
46,201102,1,2.0,0.5,0.5,0.5000017939959851,0.6666666666666666
47,201102,2,1.0,0.25,0.0,0.2706003940453674,0.4444444444444444
48,201102,3,1.0,0.25,0.0,0.35355212204115977,0.5
49,201102,4,1.0,0.25,0.0,0.35355212204115977,0.5
50,201110,0,3.0,0.75,0.5,0.5650995704550302,0.8
51,201110,1,3.0,0.75,0.5,0.5650995704550302,0.8
52,201110,2,2.0,0.5,0.0,0.4907983260941701,0.6666666666666666
53,201110,3,1.0,0.25,0.0,0.2453996271861893,0.5
54,201110,4,1.0,0.25,0.0,0.2453996271861893,0.5
55,201147,0,4.0,1.0,0.6666666666666666,0.6154121486068154,1.0
56,201147,1,2.0,0.5,0.0,0.3941027427420237,0.6666666666666666
