,TeamID,Time,SubjectIDSender,SubjectIDReceiver,MessageType,SurpriseAccordingToSendersEgoModel,SurpriseAccordingToSendersAlterModelOfReceiver
0,201004,143,3,2,MY,0.6634317695174319,1.6094379124341003
1,201004,143,3,2,MY,0.6634317695174319,1.6094379124341003
2,201004,143,3,2,MY,1.6094379124341003,1.6094379124341003
3,201004,145,1,0,N,0.6634317695174319,0.2231435513142097
4,201004,145,1,2,MY,0.6634317695174319,1.6094379124341003
5,201004,145,1,2,MY,0.6634317695174319,1.6094379124341003
6,201004,145,1,2,MY,2.1232449272879514,1.6094379124341003
7,201004,178,4,0,N,0.6634317695174319,0.2231435513142097
8,201004,184,0,1,MY,0.6634317695174319,1.6094379124341003
9,201004,189,4,0,MY,0.6634317695174319,1.6094379124341003
10,201004,194,1,0,MY,0.6634317695174319,1.6094379124341003
11,201004,194,3,1,MY,0.6634317695174319,1.6094379124341003
12,201004,212,0,4,MY,2.3299800242162787,1.6094379124341003
13,201004,212,0,4,MY,0.6634317695174319,1.6094379124341003
14,201004,212,0,4,N,1.6094379124341003,0.2231435513142097
15,201004,214,1,3,Y,0.6634317695174319,1.6094379124341003
16,201004,285,1,3,Y,0.6634317695174319,0.4938605611441196
17,201004,308,2,1,MY,0.27347542232266925,1.6094379124341003
18,201004,308,2,3,Y,0.27347542232266925,1.6094379124341003
19,201004,308,2,3,Y,0.27347542232266925,0.4938605611441196
20,201004,354,1,0,Y,0.6634317695174319,0.6634317695174319
21,201004,366,4,0,Y,0.6634317695174319,0.6634317695174319
22,201017,180,4,0,N,0.8752298727070241,0.2231435513142097
23,201017,182,1,4,N,2.1232449272879514,0.2231435513142097
24,201017,183,0,4,N,2.1232449272879514,0.2231435513142097
25,201017,185,2,1,N,1.6094379124341003,0.2231435513142097
26,201017,185,2,1,N,2.1232449272879514,0.2231435513142097
27,201017,189,4,0,N,1.6094379124341003,0.2231435513142097
28,201017,189,4,0,N,0.6634317695174319,0.2231435513142097
29,201017,189,4,1,N,1.6094379124341003,0.2231435513142097
30,201017,189,4,1,N,0.8752298727070241,0.2231435513142097
31,201017,207,3,0,N,2.1232449272879514,0.2231435513142097
32,201017,207,3,0,N,1.6094379124341003,0.2231435513142097
33,201017,207,3,0,N,1.6094379124341003,0.2231435513142097
34,201017,216,1,4,N,2.1232449272879514,0.12742750599967062
35,201017,216,1,4,MY,1.6094379124341003,1.6094379124341003
36,201017,225,2,1,MY,1.6094379124341003,1.6094379124341003
37,201017,225,2,3,MY,1.6094379124341003,1.6094379124341003
38,201017,225,2,3,MY,0.6634317695174319,1.6094379124341003
39,201017,229,3,2,MY,0.6634317695174319,1.6094379124341003
40,201017,229,3,2,MY,1.6094379124341003,1.6094379124341003
41,201017,229,1,2,MY,1.6094379124341003,1.6094379124341003
42,201017,229,1,2,MY,1.6094379124341003,1.6094379124341003
43,201017,237,0,3,MY,1.6094379124341003,1.6094379124341003
44,201017,237,0,3,MY,1.6094379124341003,1.6094379124341003
45,201017,237,0,4,N,2.1232449272879514,0.12742750599967062
46,201017,237,0,4,MY,2.1232449272879514,1.6094379124341003
47,201017,244,4,1,MY,0.6634317695174319,1.6094379124341003
48,201017,274,1,2,N,2.1232449272879514,0.2231435513142097
49,201017,274,1,2,N,2.1232449272879514,0.12742750599967062
50,201017,309,4,0,MY,1.6094379124341003,1.6094379124341003
51,201017,309,4,0,MY,1.6094379124341003,1.6094379124341003
52,201017,309,4,1,MY,1.6094379124341003,1.6094379124341003
53,201017,309,4,1,MY,1.6094379124341003,1.6094379124341003
54,201017,330,3,0,MY,0.6634317695174319,1.6094379124341003
55,201017,330,3,0,MY,0.6634317695174319,1.6094379124341003
56,201017,330,3,2,N,2.1232449272879514,0.2231435513142097
57,201017,330,3,2,N,2.1232449272879514,0.12742750599967062
58,201017,331,1,4,N,2.1232449272879514,0.09345316378824942
59,201017,331,1,4,MY,1.6094379124341003,0.6634317695174319
60,201017,331,1,4,MN,2.1232449272879514,0.2231435513142097
61,201017,334,4,1,N,1.6094379124341003,0.12742750599967062
62,201017,334,4,1,N,0.8752298727070241,0.12742750599967062
63,201017,343,1,4,MN,1.6094379124341003,0.2231435513142097
64,201017,343,1,4,MY,1.6094379124341003,1.6094379124341003
65,201017,346,0,4,N,2.1232449272879514,0.09345316378824942
66,201017,346,0,4,MY,2.1232449272879514,0.6634317695174319
67,201017,346,0,4,MN,1.6094379124341003,0.2231435513142097
68,201017,346,0,4,MN,2.1232449272879514,0.2231435513142097
69,201017,346,0,4,MY,1.6094379124341003,1.6094379124341003
70,201017,348,2,1,MY,0.6634317695174319,1.6094379124341003
71,201017,348,2,1,MY,0.6634317695174319,1.6094379124341003
72,201017,348,2,1,N,1.6094379124341003,0.12742750599967062
73,201017,348,2,1,N,2.1232449272879514,0.12742750599967062
74,201017,348,2,1,Y,0.6634317695174319,0.6634317695174319
75,201017,354,1,2,Y,1.6094379124341003,0.6634317695174319
76,201017,360,4,0,Y,1.6094379124341003,0.6634317695174319
77,201017,360,4,0,Y,1.6094379124341003,0.20357590898252861
78,201017,360,4,1,Y,1.6094379124341003,0.6634317695174319
79,201017,360,4,1,Y,1.6094379124341003,0.20357590898252861
80,201017,364,2,1,Y,0.6634317695174319,0.20357590898252861
81,201017,365,3,0,Y,0.6634317695174319,0.6634317695174319
82,201017,365,3,0,Y,0.6634317695174319,0.20357590898252861
83,201017,365,3,2,Y,0.6634317695174319,0.6634317695174319
84,201017,365,3,2,Y,0.6634317695174319,0.20357590898252861
85,201017,384,0,3,Y,1.6094379124341003,0.6634317695174319
86,201017,384,0,4,Y,1.6094379124341003,0.6634317695174319
87,201024,348,0,3,N,2.1232449272879514,0.2231435513142097
88,201024,348,0,3,MY,2.1232449272879514,1.6094379124341003
89,201024,348,0,3,MY,1.6094379124341003,1.6094379124341003
90,201024,348,0,3,MY,1.6094379124341003,1.6094379124341003
91,201024,362,3,0,N,1.6094379124341003,0.2231435513142097
92,201041,192,2,1,MY,1.6094379124341003,1.6094379124341003
93,201041,201,3,1,MY,0.6634317695174319,1.6094379124341003
94,201041,205,0,2,MY,2.1232449272879514,1.6094379124341003
95,201041,205,0,2,MY,1.6094379124341003,1.6094379124341003
96,201041,206,1,2,MY,1.6094379124341003,1.6094379124341003
97,201041,206,1,2,MY,1.6094379124341003,1.6094379124341003
98,201041,208,4,0,N,2.1232449272879514,0.2231435513142097
99,201041,208,4,0,N,1.6094379124341003,0.2231435513142097
100,201041,208,4,1,MY,1.6094379124341003,1.6094379124341003
101,201041,208,4,1,N,2.1232449272879514,0.2231435513142097
102,201041,210,1,4,MY,0.6634317695174319,1.6094379124341003
103,201041,218,3,0,N,2.1232449272879514,0.2231435513142097
104,201041,218,3,0,N,1.6094379124341003,0.2231435513142097
105,201041,218,3,1,N,1.6094379124341003,0.2231435513142097
106,201041,218,3,1,Y,0.6634317695174319,0.6634317695174319
107,201041,222,1,3,N,0.8752298727070241,0.2231435513142097
108,201041,222,1,3,MY,0.6634317695174319,1.6094379124341003
109,201041,222,1,3,MY,1.6094379124341003,1.6094379124341003
110,201041,231,4,1,Y,1.6094379124341003,0.6634317695174319
111,201041,240,1,4,N,0.8752298727070241,0.2231435513142097
112,201041,240,1,4,N,1.6094379124341003,0.2231435513142097
113,201041,247,0,3,N,2.1232449272879514,0.2231435513142097
114,201041,247,0,3,MY,1.6094379124341003,1.6094379124341003
115,201041,247,0,3,MY,1.6094379124341003,1.6094379124341003
116,201041,247,0,4,MY,1.6094379124341003,1.6094379124341003
117,201041,247,0,4,N,2.1232449272879514,0.2231435513142097
118,201041,247,0,4,N,2.1232449272879514,0.2231435513142097
119,201041,253,2,0,N,2.1232449272879514,0.2231435513142097
