,GAMEID,SubjectID,P_Culprit,P_Cul_Conf,P_Target,P_Target_Conf,P_Day,P_Day_Conf,Culprit,Cul_Conf,Target,Target_Conf,Day,Day_Conf,Culprit_Change,Target_Change,Day_Change
83,201301,4,3,4,4,4,1,5,3,5,4,4,1,5,0,0,0
84,201301,5,3,5,4,4,5,5,3,5,4,5,1,4,0,0,1
85,201310,1,2,2,4,4,5,5,2,4,4,5,5,5,0,0,0
86,201310,2,3,3,5,2,3,1,3,2,5,3,5,1,0,0,1
87,201310,3,5,2,5,4,5,5,4,2,3,2,5,5,1,1,0
88,201310,4,3,1,3,4,3,3,3,3,3,4,3,2,0,0,0
89,201310,5,3,4,2,2,5,2,5,2,5,2,5,4,1,1,0
90,201351,1,3,2,4,2,2,2,3,4,4,4,2,4,0,0,0
91,201351,2,5,1,5,3,2,3,5,1,4,4,2,4,0,1,0
92,201351,3,5,2,4,1,5,2,4,2,4,1,2,4,1,0,1
93,201351,4,1,1,4,1,2,4,1,3,4,2,2,5,0,0,0
94,201351,5,1,2,4,4,2,4,5,3,4,5,2,5,1,0,0
95,201456,1,5,4,5,4,1,5,3,4,4,4,1,5,1,1,0
96,201456,2,4,2,2,4,2,2,3,4,2,4,2,5,1,0,0
97,201456,3,3,4,4,4,1,2,3,4,4,4,2,2,0,0,1
98,201456,4,0,0,0,0,0,0,2,1,1,1,1,2,1,1,1
99,201456,5,1,4,5,4,2,3,3,3,1,3,1,3,1,1,1
100,201462,1,3,4,4,5,2,5,3,4,4,5,2,5,0,0,0
101,201462,2,2,3,5,3,5,3,3,3,4,3,2,3,1,1,1
102,201462,3,4,2,5,4,2,5,3,4,4,5,2,5,1,1,0
103,201462,4,1,0,4,0,2,0,3,1,4,5,2,5,1,0,0
104,201462,5,2,4,2,3,2,4,3,4,4,4,2,5,1,1,0
105,201493,1,1,2,4,4,2,4,3,4,4,4,2,4,1,0,0
106,201493,2,2,1,5,2,2,1,1,1,1,1,1,2,1,1,1
107,201493,3,1,2,1,1,3,1,3,4,4,4,2,2,1,1,1
108,201493,4,2,2,4,4,1,4,2,4,4,3,1,4,0,0,0
109,201493,5,3,4,5,2,5,2,3,5,4,4,2,4,0,1,1
110,201513,1,3,2,1,2,3,1,3,5,4,5,2,5,0,1,1
111,201513,2,1,4,2,4,2,4,3,4,2,4,2,4,1,0,0
112,201513,3,2,0,5,0,1,0,1,4,5,4,1,4,1,0,0
113,201513,4,1,1,4,4,2,4,3,2,4,2,2,4,1,0,0
114,201513,5,1,2,5,2,4,2,3,3,5,3,4,3,1,0,0
115,201577,1,3,1,5,1,5,3,1,5,4,2,2,4,1,1,1
116,201577,2,2,3,5,4,5,3,2,5,4,5,2,4,0,1,1
117,201577,3,3,2,5,3,1,3,3,4,4,5,2,5,0,1,1
118,201577,4,3,2,1,2,2,0,3,4,4,5,2,4,0,1,0
119,201577,5,3,4,5,4,2,4,1,4,5,5,2,5,1,0,0
120,201586,1,3,1,1,1,2,1,3,2,4,2,2,5,0,1,0
121,201586,2,3,0,0,0,0,0,3,4,4,4,2,4,0,1,1
122,201586,3,2,4,1,4,2,5,3,4,4,4,2,5,1,1,0
123,201586,4,2,3,1,3,2,4,2,4,1,4,2,4,0,0,0
124,201586,5,3,4,4,4,2,4,3,4,4,4,2,4,0,0,0
125,201590,1,2,1,4,1,3,1,5,1,4,1,2,1,1,0,1
126,201590,2,1,4,1,4,1,4,1,2,4,2,1,5,0,1,0
127,201590,3,1,2,1,2,3,2,1,2,5,1,1,1,0,1,1
128,201590,4,2,0,1,0,2,0,2,4,2,4,5,4,0,1,1
129,201590,5,2,1,1,3,2,4,4,2,4,4,2,4,1,1,0
130,201626,1,4,2,2,3,1,3,3,1,1,1,1,1,1,1,0
131,201626,2,3,1,5,1,1,1,5,4,5,2,2,4,1,0,1
132,201626,3,2,2,2,4,2,4,5,4,5,4,2,4,1,1,0
133,201626,4,3,0,4,0,5,0,3,4,5,4,1,4,0,1,1
134,201626,5,3,4,2,4,2,4,5,4,2,4,2,4,1,0,0
135,201636,1,2,2,2,2,5,4,2,2,5,2,4,2,0,1,1
136,201636,2,2,2,5,4,2,4,2,3,5,3,4,2,0,0,1
137,201636,3,4,4,3,5,1,5,0,0,0,0,0,0,1,1,1
138,201636,4,4,2,4,2,5,2,2,4,4,4,5,4,1,0,0
139,201636,5,1,1,1,4,4,2,5,4,1,3,4,4,1,0,0
140,201656,1,5,1,4,1,4,2,3,2,4,3,2,3,1,0,1
141,201656,2,4,2,2,2,1,4,3,3,4,3,2,1,1,1,1
142,201656,3,4,2,3,2,5,3,3,2,4,2,2,5,1,1,1
143,201656,4,1,1,1,1,4,2,3,4,4,4,2,4,1,1,1
144,201656,5,2,1,4,1,2,4,3,4,4,4,2,4,1,0,0
